position	strand	source_info
38	+	storz_regulondb
113	+	storz
122	-	storz
147	+	wanner
412	+	storz
683	+	regulondb
1009	+	regulondb
1176	-	storz_regulondb
1886	+	regulondb
1965	+	regulondb
2259	-	storz
2391	+	storz
2581	+	storz_regulondb
2811	+	regulondb
3066	+	regulondb
3368	+	regulondb
3396	+	regulondb
3729	-	storz
3756	+	storz
4241	+	regulondb
4787	+	storz
4996	-	storz
5030	+	regulondb
5078	-	storz
5147	+	storz
5652	+	storz
5761	+	storz
5829	-	storz
5925	-	storz
5943	+	storz
6484	-	regulondb
6587	-	regulondb
6615	-	regulondb
6728	+	storz
6966	+	storz
7418	+	storz
7482	-	storz
8015	-	wanner
8042	+	storz
8053	-	storz
8191	+	regulondb
8226	-	storz
8229	+	regulondb
8319	-	storz
8352	+	regulondb
8542	-	storz
8581	-	storz
8638	+	regulondb
8858	-	storz
9213	-	storz
9277	+	storz_regulondb
9359	-	storz
10476	-	storz
10564	-	wanner
10584	+	storz
10643	+	regulondb
10989	-	storz
11033	-	storz
11090	+	storz
11407	+	storz
11542	-	regulondb
11543	+	storz
11825	-	regulondb
11913	-	regulondb
11936	-	storz
12048	+	storz_regulondb
12122	+	wanner
12132	-	storz
12142	+	regulondb
12891	+	regulondb
13044	+	regulondb
13111	+	regulondb
13619	+	storz
13932	+	storz
14092	-	storz
14535	+	storz
15080	+	storz
15380	+	regulondb
15436	+	regulondb
15463	+	regulondb
15553	+	regulondb
16003	-	storz
16296	-	storz
16460	-	storz
16560	-	storz
16949	-	storz
16952	+	storz
16961	-	regulondb
17007	-	storz
17053	-	storz
17151	-	storz
17215	+	storz
17228	-	wanner
17311	+	storz_wanner
17414	-	storz
17422	+	storz
17454	+	storz
17589	-	storz
17981	+	storz
18023	+	regulondb
18374	+	storz
18553	+	storz
19132	-	storz
19155	+	storz
19187	+	storz
19486	+	storz
19511	-	storz
19532	+	storz
19659	-	storz
19677	+	storz
19759	+	storz
19773	-	storz
19831	+	storz
20278	+	storz
20342	+	regulondb
20526	-	storz
20562	-	storz
20678	-	storz_regulondb
20859	+	storz
20910	-	regulondb
20984	+	storz
21007	+	storz
21020	-	regulondb
21045	-	regulondb
21094	-	regulondb
21113	+	storz
21118	-	wanner
21155	-	regulondb
21207	-	storz_wanner
21383	+	storz_regulondb
21833	+	regulondb
22034	+	regulondb
22220	+	regulondb
22306	+	regulondb
22371	+	regulondb
22707	-	storz
23007	+	regulondb
23116	+	storz
23267	+	storz
23888	+	regulondb
24198	+	regulondb
24243	+	regulondb
24351	+	storz
24709	+	regulondb
24918	+	regulondb
25014	+	storz_regulondb
25344	-	storz
26450	+	storz
26476	-	storz
27024	+	storz
27114	+	storz
27263	+	storz_regulondb
28287	+	storz
28343	+	regulondb
29030	+	storz
29062	+	storz
29129	+	storz
29483	-	storz
29551	+	storz_regulondb
29619	+	regulondb
29767	-	storz
30775	+	regulondb
31586	-	storz
31596	+	regulondb
32607	-	storz
34027	-	storz_wanner
34045	+	storz
34216	+	regulondb
34492	+	storz
34705	+	storz
34756	+	storz
34907	+	storz
34913	-	storz
35399	-	regulondb
35440	-	regulondb
35499	-	regulondb
36161	+	storz
37454	-	storz
37479	+	storz
38400	-	regulondb
39939	-	storz
39952	+	storz
40935	-	storz
41205	-	storz
41748	-	storz
42037	-	regulondb
42325	+	regulondb
42510	+	storz
44059	+	storz
45592	+	regulondb
45860	+	storz
46052	+	storz
46141	-	storz
46988	-	storz
47080	+	regulondb
47181	+	storz
47211	+	storz
47257	+	storz
47815	-	storz
47965	-	storz
49104	+	storz
49238	-	storz
49788	+	storz
50322	+	storz
50459	-	storz
50477	+	storz
50556	-	storz
50573	+	storz
51193	+	storz
51293	-	regulondb
51949	-	storz
51998	-	regulondb
52034	-	storz_regulondb
52194	-	regulondb
52478	-	regulondb
52548	-	regulondb
52587	-	storz_wanner_regulondb
53090	-	storz
53139	+	storz
53776	-	storz
53824	-	storz
53904	-	regulondb
53905	+	storz
54275	-	regulondb
54363	-	regulondb
54605	-	regulondb
54746	-	regulondb
54788	+	storz
54884	-	regulondb
54995	+	storz
55120	-	regulondb
55146	-	regulondb
55337	+	storz
55399	-	storz
55785	-	regulondb
55889	+	storz
55908	-	regulondb
56036	-	regulondb
56380	+	storz
56466	-	regulondb
56611	-	storz
56724	-	regulondb
56888	+	storz
57150	+	storz
57156	-	storz_regulondb
57197	+	storz
57241	-	storz_regulondb
57259	+	storz
57311	-	storz
57327	+	wanner
57336	-	regulondb
57492	+	storz
58358	-	storz
58482	+	storz
58726	-	storz
58773	+	storz
58890	+	storz
58933	+	storz
59025	+	storz
59150	-	storz
59728	+	storz
60268	-	storz
60450	-	regulondb
61083	-	storz
61281	+	storz
61477	+	storz
61897	-	storz
62659	+	storz
62712	-	regulondb
62992	-	regulondb
63074	-	storz
63091	+	storz
63181	+	storz
63245	-	storz
63357	-	storz
63449	-	wanner
63588	-	storz_regulondb
64188	+	storz
64514	-	storz
64720	-	storz
64745	+	storz
65802	-	wanner
65946	-	storz
66113	+	storz
66557	+	storz
66588	+	storz
66867	+	storz
67171	+	storz
67616	-	storz
67777	-	storz
68654	+	storz
70075	-	regulondb
70221	+	storz
70387	+	storz
70531	+	storz
70974	-	storz
71271	+	regulondb
71292	+	storz
71329	+	storz
71341	-	storz
71795	+	storz
72227	-	storz
73085	-	regulondb
73803	-	storz
75126	+	storz
75608	-	storz_regulondb
75747	-	storz
75765	+	storz
75969	-	storz
76047	+	storz
77336	-	storz
77367	+	storz_regulondb
77403	-	storz
77546	+	storz
77565	-	storz
77619	+	storz
77910	+	storz
78203	+	storz
78269	+	storz
78332	+	storz
78491	-	storz
78612	+	storz
79156	-	storz
79281	-	regulondb
79386	-	regulondb
79594	-	regulondb
79676	-	storz
79955	-	regulondb
80236	-	regulondb
80331	+	storz
80442	-	regulondb
80589	-	regulondb
80670	-	regulondb
81214	-	regulondb
81440	-	regulondb
81559	-	regulondb
82058	-	regulondb
82082	-	regulondb
82123	-	regulondb
82207	-	regulondb
82216	+	storz
82255	-	regulondb
82361	-	regulondb
82467	-	storz
82593	-	regulondb
82645	+	storz
82671	-	regulondb
82704	-	regulondb
83028	-	regulondb
83349	-	regulondb
83570	-	storz
83674	+	storz
83728	-	regulondb
83745	+	storz
83882	+	storz
83894	-	storz
84024	-	regulondb
