XID	name	type	TSS	start	stop	minus35L	minus35R	minus10L	minus10R	sigma	strand	center	length	mode	promoter	include
ECK120010399	cspAp1	promoter	3717912			3717876	3717881	3717901	3717906	Sigma70	forward					1
ECK120010398	uspAp1	promoter	3638006			3637972	3637977	3637993	3637998	Sigma70	forward					1
ECK125137226	yegIp8	promoter	2149023			2149053	2149058	2149030	2149035	Sigma70	reverse					1
ECK120010396	ugpBp2	promoter	3590449			3590480	3590485	3590459	3590464	Sigma70	reverse					1
ECK120010395	ugpBp1	promoter	3590401			3590428	3590433	3590407	3590412	Sigma70	reverse					1
ECK120010394	yhfGp	promoter	3489669							nan	reverse					1
ECK120010393	pabAp1	promoter	3488873			3488907	3488912	3488880	3488885	Sigma70	reverse					1
ECK120010392	rpsLp	promoter	3472643							nan	reverse					1
ECK120010391	rpsJp	promoter	3451464			3451492	3451497	3451470	3451475	Sigma70	reverse					1
ECK120010390	rplNp	promoter	3446244							nan	reverse					1
ECK125156035	TSS_2806	promoter	2906903							unknown	reverse					1
ECK120011152	feaRp	promoter	1445391							nan	reverse					1
ECK125155473	TSS_2244	promoter	2260633							unknown	reverse					1
ECK125153769	TSS_540	promoter	460702							unknown	forward					1
ECK125153768	TSS_539	promoter	460683							unknown	forward					1
ECK125153765	TSS_536	promoter	460669							unknown	forward					1
ECK125153764	TSS_535	promoter	460665							unknown	forward					1
ECK125153767	TSS_538	promoter	460679							unknown	forward					1
ECK125153766	TSS_537	promoter	460675							unknown	forward					1
ECK125153761	TSS_532 (cluster)	promoter	460654							unknown	forward					1
ECK125153760	TSS_531	promoter	460617							unknown	forward					1
ECK125153763	TSS_534 (cluster)	promoter	460660							unknown	forward					1
ECK125153762	TSS_533 (cluster)	promoter	460657							unknown	forward					1
ECK120033028	nrdRp	promoter	432201			432165	432170	432187	432192	Sigma70	forward					1
ECK120033029	sbcDp	promoter	416201			416231	416236	416208	416213	Sigma70	reverse					1
ECK120033027	yibDp1	promoter	3788172			3788200	3788205	3788178	3788183	Sigma70	reverse					1
ECK125137228	yegJp7	promoter	2149040			2149005	2149010	2149029	2149034	Sigma70	forward					1
ECK125157141	TSS_3912	promoter	3877587							unknown	reverse					1
ECK125137229	yegJp8	promoter	2149075			2149036	2149041	2149063	2149068	Sigma70	forward					1
ECK125156017	TSS_2788 (cluster)	promoter	2905263							unknown	reverse					1
ECK125153499	TSS_270	promoter	176558							unknown	forward					1
ECK125153498	TSS_269	promoter	176147							unknown	forward					1
ECK125137227	yegIp9	promoter	2149100			2149132	2149137	2149105	2149110	Sigma70	reverse					1
ECK125153493	TSS_264 (cluster)	promoter	174930							unknown	forward					1
ECK125153492	TSS_263	promoter	173769							unknown	reverse					1
ECK125153491	TSS_262	promoter	173420							unknown	forward					1
ECK125153490	TSS_261	promoter	169733							unknown	forward					1
ECK125153497	TSS_268	promoter	175074							unknown	forward					1
ECK125137224	yegDp2	promoter	2145668			2145635	2145640	2145658	2145663	Sigma70	forward					1
ECK125153495	TSS_266 (cluster)	promoter	175008							unknown	forward					1
ECK125153494	TSS_265 (cluster)	promoter	174942							unknown	forward					1
ECK125137225	yegIp7	promoter	2149101			2149132	2149137	2149108	2149113	Sigma70	reverse					1
ECK125137222	wcaMp1	promoter	2113958			2113988	2113994	2113964	2113970	Sigma24	reverse					1
ECK125156416	TSS_3187 (cluster)	promoter	3331539							unknown	reverse					1
ECK125137223	wzxCp5	promoter	2118361			2118390	2118395	2118368	2118373	Sigma70	reverse					1
ECK125156417	TSS_3188	promoter	3331659							unknown	reverse					1
ECK125137220	rfbXp7	promoter	2107742			2107770	2107775	2107749	2107754	Sigma70	reverse					1
ECK125156032	TSS_2803 (cluster)	promoter	2906248							unknown	reverse					1
ECK125137221	rfbXp8	promoter	2107740			2107769	2107774	2107746	2107751	Sigma70	reverse					1
ECK125156019	TSS_2790	promoter	2905649							unknown	reverse					1
ECK125157816	TSS_4587	promoter	4380062							unknown	reverse					1
ECK125157008	TSS_3779	promoter	3654742							unknown	reverse					1
ECK125157009	TSS_3780	promoter	3654784							unknown	reverse					1
ECK125157815	TSS_4586	promoter	4379647							unknown	reverse					1
ECK125157000	TSS_3771	promoter	3643349							unknown	forward					1
ECK125156418	TSS_3189	promoter	3332303							unknown	forward					1
ECK125155475	TSS_2246	promoter	2261861							unknown	forward					1
ECK125157003	TSS_3774	promoter	3651212							unknown	reverse					1
ECK125157004	TSS_3775	promoter	3654282							unknown	reverse					1
ECK125156935	TSS_3706	promoter	3566657							unknown	reverse					1
ECK125157006	TSS_3777	promoter	3654302							unknown	reverse					1
ECK125156419	TSS_3190	promoter	3332324							unknown	forward					1
ECK125156934	TSS_3705	promoter	3566419							unknown	reverse					1
ECK125156115	TSS_2886	promoter	3034117							unknown	reverse					1
ECK125157819	TSS_4590	promoter	4380350							unknown	reverse					1
ECK125153949	TSS_720	promoter	702854							unknown	reverse					1
ECK125153948	TSS_719	promoter	701933							unknown	reverse					1
ECK125155534	TSS_2305	promoter	2383426							unknown	forward					1
ECK125155085	TSS_1856 (cluster)	promoter	1807363							unknown	reverse					1
ECK125155532	TSS_2303	promoter	2379587							unknown	reverse					1
ECK125155533	TSS_2304	promoter	2379604							unknown	forward					1
ECK125155530	TSS_2301	promoter	2379557							unknown	reverse					1
ECK125155531	TSS_2302	promoter	2379585							unknown	reverse					1
ECK125153941	TSS_712	promoter	700262							unknown	reverse					1
ECK125153940	TSS_711	promoter	699578							unknown	reverse					1
ECK125153943	TSS_714	promoter	700583							unknown	reverse					1
ECK125153942	TSS_713	promoter	700563							unknown	reverse					1
ECK125153945	TSS_716	promoter	700587							unknown	reverse					1
ECK125153944	TSS_715	promoter	700585							unknown	reverse					1
ECK125153947	TSS_718	promoter	700870							unknown	reverse					1
