#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
    1;U00096.2:6528-7959(-);1428;Uncharacterized transporter YaaJ;99.79% [1428/1431];GO:0005886 - plasma membrane|GO:0015655 - alanine:sodium symporter activity|GO:0016021 - integral component of membrane;;Uniprot (P30143)|Interpro (P30143);KEGG (eco:b0007)|KEGG GM (eco:b0007);Interpro (IPR001463)|Pfam (PF01235);NCBI (991975379)|EMBL (AP009048);
2;U00096.2:11381-11786(-);402;UPF0412 protein YaaI;99.26% [402/405];;;Uniprot (C4ZPT9)|Interpro (C4ZPT9);KEGG (ebw:BWG_0012)|KEGG GM (ebw:BWG_0012);Interpro (IPR020240)|Pfam (PF10807);NCBI (446766309)|EMBL (CP001396);
3;U00096.2:14167-15298(+);1128;Chaperone protein DnaJ;99.73% [1128/1131];GO:0005524 - ATP binding|GO:0005737 - cytoplasm|GO:0006260 - DNA replication|GO:0006457 - protein folding|GO:0008270 - zinc ion binding|GO:0009408 - response to heat|GO:0031072 - heat shock protein binding|GO:0051082 - unfolded protein binding;;Uniprot (B1XBE0)|Interpro (B1XBE0);KEGG (ecd:ECDH10B_0015)|KEGG GM (ecd:ECDH10B_0015);Interpro (IPR012724)|Interpro (IPR002939)|Interpro (IPR001623)|Interpro (IPR018253)|Interpro (IPR008971)|Interpro (IPR001305)|Interpro (IPR036410)|Interpro (IPR036869)|Pfam (PF00226)|Pfam (PF01556)|Pfam (PF00684);NCBI (447041220)|EMBL (CP000948);
4;U00096.2:34299-34695(+);393;Transcriptional activatory protein CaiF;99.24% [393/396];GO:0003700 - DNA-binding transcription factor activity|GO:0006351 - transcription DNA-templated|GO:0006355 - regulation of transcription DNA-templated|GO:0009437 - carnitine metabolic process;Carnitine Metabolism in Microorganisms;Uniprot (P0AE58)|Interpro (P0AE58);KEGG (eco:b0034)|KEGG GM (eco:b0034);Interpro (IPR020357)|Interpro (IPR036388)|Pfam (PF07180);NCBI (991975406)|EMBL (AP009048);
5;U00096.2:57363-58179(+);813;Co-chaperone protein DjlA;99.63% [813/816];GO:0005737 - cytoplasm|GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0016020 - membrane|GO:0051087 - chaperone binding;EC49-61|Rcs phosphorelay signal transduction pathway;Uniprot (P31680)|Interpro (P31680);KEGG (eco:b0055)|KEGG GM (eco:b0055);Interpro (IPR023749)|Interpro (IPR007791)|Interpro (IPR001623)|Interpro (IPR036869)|Interpro (IPR029024)|Pfam (PF00226)|Pfam (PF05099);NCBI (991975426)|EMBL (AY625119);
6;U00096.2:135597-136464(-);864;Polyamine aminopropyltransferase;99.65% [864/867];GO:0004766 - spermidine synthase activity|GO:0005737 - cytoplasm|GO:0008295 - spermidine biosynthetic process;Polyamine Metabolism;Uniprot (A7ZHL0)|Interpro (A7ZHL0);KEGG (ecw:EcE24377A_0123)|KEGG GM (ecw:EcE24377A_0123)|KEGG EC (2.5.1.16);Interpro (IPR030374)|Interpro (IPR030373)|Interpro (IPR029063)|Interpro (IPR001045)|Interpro (IPR035246)|Interpro (IPR037163)|Pfam (PF17284);NCBI (752460673)|EMBL (CP000800);
7;U00096.2:142007-142670(-);660;Carbonic anhydrase 2;99.55% [660/663];GO:0004089 - carbonate dehydratase activity|GO:0005737 - cytoplasm|GO:0005829 - cytosol|GO:0008270 - zinc ion binding|GO:0015976 - carbon utilization;CO2 uptake, carboxysome|Cyanate hydrolysis|Zinc regulated enzymes;Uniprot (P61517)|Interpro (P61517);KEGG (eco:b0126)|KEGG GM (eco:b0126)|KEGG EC (4.2.1.1);Interpro (IPR001765)|Interpro (IPR015892)|Interpro (IPR036874)|Pfam (PF00484);NCBI (991975471)|EMBL (AP009048);
8;U00096.2:161500-162031(-);528;RNA 2'3'-cyclic phosphodiesterase;99.44% [528/531];GO:0004113 - 2'3'-cyclic-nucleotide 3'-phosphodiesterase activity|GO:0008664 - 2'-5'-RNA ligase activity;;Uniprot (P37025)|Interpro (P37025);KEGG (eco:b0147)|KEGG GM (eco:b0147)|KEGG EC (3.1.4.58);Interpro (IPR009097)|Interpro (IPR014051)|Interpro (IPR004175)|Pfam (PF02834);NCBI (991975491)|EMBL (M60726);
9;U00096.2:162104-164534(+);2424;ATP-dependent RNA helicase HrpB;99.75% [2424/2430];GO:0003676 - nucleic acid binding|GO:0005524 - ATP binding|GO:0008026 - helicase activity;;Uniprot (P37024)|Interpro (P37024);KEGG (eco:b0148)|KEGG GM (eco:b0148)|KEGG EC (3.6.4.13);Interpro (IPR011545)|Interpro (IPR007502)|Interpro (IPR014001)|Interpro (IPR001650)|Interpro (IPR010225)|Interpro (IPR027417)|Interpro (IPR013689)|Pfam (PF00270)|Pfam (PF04408)|Pfam (PF00271)|Pfam (PF08482);NCBI (827620814)|EMBL (D42122);
10;U00096.2:190856-191708(+);849;Elongation factor Ts;99.65% [849/852];GO:0003746 - translation elongation factor activity|GO:0005737 - cytoplasm;Translation elongation factors bacterial|CBSS-176299.4.peg.1996B|CBSS-312309.3.peg.1965;Uniprot (A7ZHR0)|Interpro (A7ZHR0);KEGG (ecw:EcE24377A_0174)|KEGG GM (ecw:EcE24377A_0174);Interpro (IPR036402)|Interpro (IPR001816)|Interpro (IPR014039)|Interpro (IPR018101)|Interpro (IPR009060)|Pfam (PF00889);NCBI (752463288)|EMBL (CP000800);
