114	+	1,0,0,0
147	+	0,1,0,0
8015	-	1,0,0,0
8192	+	1,0,0,0
10564	-	1,0,0,0
12049	+	1,0,0,0
12122	+	0,1,0,0
17228	-	1,0,0,0
16953	+	1,0,0,0
17311	+	1,0,0,0
21118	-	0,1,0,0
21207	-	1,0,0,0
21008	+	1,0,0,0
21384	+	0,0,1,0
21835	+	0,0,1,0
28288	+	1,0,0,0
28344	+	0,1,0,0
29552	+	1,0,0,0
34027	-	0,0,0,1
49789	+	1,0,0,0
52587	-	0,0,1,0
57252	-	1,0,0,0
57327	+	1,0,0,0
63449	-	0,0,1,0
65802	-	1,0,0,0
70222	+	1,0,0,0
77338	-	1,0,0,0
77368	+	1,0,0,0
83735	-	1,0,0,0
85600	+	1,0,0,0
89363	+	1,0,0,0
89590	+	0,1,0,0
102873	+	0,0,1,0
104694	+	0,0,1,0
106503	+	0,1,0,0
106956	+	0,0,1,0
107669	+	0,1,0,0
112687	-	0,0,1,0
113301	-	1,0,0,0
113395	+	1,0,0,0
118678	-	1,0,0,0
118702	+	1,0,0,0
121676	-	1,0,0,0
122035	+	1,0,0,0
122970	+	1,0,0,0
127718	+	0,1,0,0
131520	+	1,0,0,0
134340	+	1,0,0,0
136506	-	0,1,0,0
136939	-	1,0,0,0
137046	+	1,0,0,0
141262	-	1,0,0,0
141361	+	1,0,0,0
142702	-	1,0,0,0
146723	-	1,0,0,0
149629	-	1,0,0,0
159171	-	0,1,0,0
159389	-	0,0,1,0
161376	-	0,0,1,0
162052	-	1,0,0,0
162001	+	1,0,0,0
167427	+	1,0,0,0
169125	+	0,0,1,0
174990	-	1,0,0,0
174934	+	1,0,0,0
179180	-	1,0,0,0
179199	+	1,0,0,0
180670	+	0,0,1,0
181047	-	0,0,0,1
182448	+	1,0,0,0
183915	-	0,0,1,0
184192	-	1,0,0,0
185975	-	0,1,0,0
189625	-	1,0,0,0
186144	+	0,0,0,1
189641	+	1,0,0,0
189713	+	0,1,0,0
208277	+	0,0,1,0
209659	+	1,0,0,0
212307	+	1,0,0,0
214196	-	1,0,0,0
214197	+	1,0,0,0
214270	+	0,1,0,0
214622	+	0,0,1,0
218836	-	0,1,0,0
220072	-	0,1,0,0
222713	-	1,0,0,0
222807	+	1,0,0,0
223486	+	1,0,0,0
223595	+	0,1,0,0
229135	+	0,1,0,0
230983	-	1,0,0,0
231073	+	1,0,0,0
233981	-	0,1,0,0
234955	-	1,0,0,0
234461	+	0,0,0,1
234786	+	1,0,0,0
236005	-	1,0,0,0
235938	+	1,0,0,0
236022	+	0,1,0,0
236910	+	0,1,0,0
240215	-	1,0,0,0
240320	+	1,0,0,0
243345	-	1,0,0,0
243513	+	1,0,0,0
245883	-	0,1,0,0
246532	-	1,0,0,0
250504	+	1,0,0,0
251974	+	0,1,0,0
255807	-	1,0,0,0
255919	+	1,0,0,0
256503	+	1,0,0,0
257811	+	0,1,0,0
259374	-	1,0,0,0
259462	+	1,0,0,0
262061	+	0,1,0,0
262303	-	0,0,0,1
274512	+	1,0,0,0
280042	-	1,0,0,0
289564	-	1,0,0,0
294844	-	1,0,0,0
296287	+	1,0,0,0
302182	+	1,0,0,0
312027	-	1,0,0,0
312033	+	1,0,0,0
312509	-	1,0,0,0
312599	+	1,0,0,0
316587	+	1,0,0,0
319256	-	1,0,0,0
319359	+	1,0,0,0
320709	+	1,0,0,0
328584	-	1,0,0,0
328646	+	1,0,0,0
331271	+	1,0,0,0
342042	+	1,0,0,0
344477	+	1,0,0,0
345657	+	1,0,0,0
347692	-	1,0,0,0
354109	+	1,0,0,0
362424	-	1,0,0,0
361408	+	0,0,0,1
367759	-	1,0,0,0
375689	+	0,0,1,0
379142	-	1,0,0,0
380057	-	1,0,0,0
388977	-	1,0,0,0
392606	-	0,0,0,1
392449	+	1,0,0,0
395655	-	1,0,0,0
395567	+	1,0,0,0
398607	-	1,0,0,0
398669	+	1,0,0,0
400216	-	1,0,0,0
400544	+	1,0,0,0
400954	+	0,1,0,0
402456	+	0,1,0,0
404909	-	1,0,0,0
404966	+	1,0,0,0
405503	+	0,1,0,0
406179	+	0,1,0,0
406504	+	0,1,0,0
407799	+	1,0,0,0
