chrom	scramble_start_pos	scramble_end_pos	mean_group_diff	scrambles	num_scrambles	site_type	tfbs_left	tfbs_right	tf_name	tf_effect	tf_concordance
U00096.2	8139	8149	2.121711091	TSS_43_regulondb,8229,+_scrambled30-40_flipped	1	increased	-1	-1	NA	NA	NA
U00096.2	10649	10664	1.6150509	TSS_54_wanner,10564,-_scrambled115-125,TSS_54_wanner,10564,-_scrambled120-130	2	increased	-1	-1	NA	NA	NA
U00096.2	19801	19811	1.069537809	TSS_113_storz,19831,+_scrambled90-100	1	increased	-1	-1	NA	NA	NA
U00096.2	29614	29624	5.270996599	TSS_160_regulondb,29619,+_scrambled115-125	1	increased	29602	29619	ArgR	-	TRUE
U00096.2	57286	57296	15.0077219	TSS_247_storz_regulondb,57241,-_scrambled75-85	1	increased	-1	-1	NA	NA	NA
U00096.2	71232	71242	1.287502172	TSS_298_storz,71292,+_scrambled60-70_flipped	1	increased	-1	-1	NA	NA	NA
U00096.2	121720	121730	1.699512595	TSS_513_regulondb,121650,-_scrambled100-110	1	increased	-1	-1	NA	NA	NA
U00096.2	127692	127702	1.390021923	TSS_537_regulondb,127717,+_scrambled95-105	1	increased	127681	127695	Fis	+	FALSE
U00096.2	127692	127702	1.390021923	TSS_537_regulondb,127717,+_scrambled95-105	1	increased	127683	127697	ArcA	-	TRUE
U00096.2	127692	127702	1.390021923	TSS_537_regulondb,127717,+_scrambled95-105	1	increased	127688	127709	CRP	-	TRUE
U00096.2	127692	127702	1.390021923	TSS_537_regulondb,127717,+_scrambled95-105	1	increased	127692	127706	ArcA	-	TRUE
U00096.2	131464	131474	2.486182307	TSS_555_regulondb,131519,+_scrambled65-75,TSS_556_regulondb,131564,+_scrambled20-30	2	increased	131455	131469	ArcA	-	TRUE
U00096.2	131464	131474	2.486182307	TSS_555_regulondb,131519,+_scrambled65-75,TSS_556_regulondb,131564,+_scrambled20-30	2	increased	131464	131478	ArcA	-	TRUE
U00096.2	131464	131474	2.486182307	TSS_555_regulondb,131519,+_scrambled65-75,TSS_556_regulondb,131564,+_scrambled20-30	2	increased	131471	131492	CRP	+	FALSE
U00096.2	150476	150486	11.32597477	TSS_630_storz,150401,-_scrambled105-115_flipped	1	increased	-1	-1	NA	NA	NA
U00096.2	150734	150744	1.009568528	TSS_632_storz,150689,-_scrambled75-85	1	increased	-1	-1	NA	NA	NA
U00096.2	156082	156092	10.49816135	TSS_650_storz,156107,+_scrambled95-105	1	increased	-1	-1	NA	NA	NA
U00096.2	167412	167422	2.333707081	TSS_692_wanner,167427,+_scrambled105-115	1	increased	-1	-1	NA	NA	NA
U00096.2	189486	189496	16.54573865	TSS_779_regulondb,189471,-_scrambled45-55	1	increased	-1	-1	NA	NA	NA
U00096.2	189557	189567	2.055297164	TSS_780_regulondb,189532,-_scrambled55-65	1	increased	-1	-1	NA	NA	NA
U00096.2	189593	189603	1.50313921	TSS_782_storz_regulondb,189553,-_scrambled70-80	1	increased	-1	-1	NA	NA	NA
U00096.2	201690	201700	0.9689738617	TSS_866_storz,201715,+_scrambled95-105	1	increased	-1	-1	NA	NA	NA
U00096.2	202105	202115	2.692842765	TSS_871_regulondb,202110,+_scrambled115-125	1	increased	-1	-1	NA	NA	NA
U00096.2	208266	208276	2.126037954	TSS_895_storz_regulondb,208326,+_scrambled60-70	1	increased	-1	-1	NA	NA	NA
U00096.2	214238	214248	1.7512064	TSS_919_regulondb,214163,-_scrambled105-115	1	increased	-1	-1	NA	NA	NA
U00096.2	214296	214306	4.041607321	TSS_922_wanner,214196,-_scrambled130-140	1	increased	-1	-1	NA	NA	NA
U00096.2	218886	218896	1.366988277	TSS_942_regulondb,218831,-_scrambled85-95	1	increased	-1	-1	NA	NA	NA
U00096.2	220117	220132	3.149610535	TSS_946_storz_regulondb,220022,-_scrambled125-135,TSS_946_storz_regulondb,220022,-_scrambled130-140	2	increased	-1	-1	NA	NA	NA
U00096.2	243477	243487	3.124609432	TSS_1061_storz_regulondb,243512,+_scrambled85-95	1	increased	-1	-1	NA	NA	NA
U00096.2	251924	251934	10.48735659	TSS_1091_storz_regulondb,251969,+_scrambled75-85	1	increased	-1	-1	NA	NA	NA
U00096.2	255894	255904	1.651212477	TSS_1103_regulondb,255914,+_scrambled100-110	1	increased	-1	-1	NA	NA	NA
U00096.2	257825	257835	14.91198954	TSS_1112_storz_regulondb,257810,+_scrambled135-145_flipped	1	increased	-1	-1	NA	NA	NA
U00096.2	274489	274499	1.396177109	TSS_1175_regulondb,274509,+_scrambled100-110	1	increased	-1	-1	NA	NA	NA
U00096.2	274509	274519	1.581472619	TSS_1175_regulondb,274509,+_scrambled120-130	1	increased	-1	-1	NA	NA	NA
U00096.2	279170	279180	5.856333555	TSS_1188_regulondb,279115,-_scrambled85-95	1	increased	-1	-1	NA	NA	NA
U00096.2	281436	281446	2.045286463	TSS_1200_regulondb,281476,+_scrambled80-90	1	increased	-1	-1	NA	NA	NA
U00096.2	289624	289639	11.72817449	TSS_1214_storz_wanner_regulondb,289564,-_scrambled90-100_flipped,TSS_1214_storz_wanner_regulondb,289564,-_scrambled95-105_flipped	2	increased	-1	-1	NA	NA	NA
U00096.2	289654	289664	5.155490436	TSS_1214_storz_wanner_regulondb,289564,-_scrambled120-130	1	increased	-1	-1	NA	NA	NA
U00096.2	293105	293115	1.936043147	TSS_1239_storz,293130,+_scrambled95-105	1	increased	-1	-1	NA	NA	NA
U00096.2	293130	293140	1.902473077	TSS_1239_storz,293130,+_scrambled120-130	1	increased	-1	-1	NA	NA	NA
U00096.2	293166	293176	12.71473562	TSS_1240_storz,293211,+_scrambled75-85	1	increased	-1	-1	NA	NA	NA
U00096.2	294864	294889	7.332974867	TSS_1247_storz_wanner_regulondb,294844,-_scrambled50-60_flipped,TSS_1247_storz_wanner_regulondb,294844,-_scrambled60-70_flipped,TSS_1247_storz_wanner_regulondb,294844,-_scrambled65-75_flipped	3	increased	-1	-1	NA	NA	NA
U00096.2	294930	294960	5.605230305	TSS_1249_regulondb,294880,-_scrambled100-110_flipped,TSS_1249_regulondb,294880,-_scrambled80-90_flipped,TSS_1249_regulondb,294880,-_scrambled85-95_flipped,TSS_1249_regulondb,294880,-_scrambled95-105_flipped	4	increased	-1	-1	NA	NA	NA
U00096.2	302151	302161	2.788708796	TSS_1275_regulondb,302181,+_scrambled90-100_flipped	1	increased	-1	-1	NA	NA	NA
U00096.2	310695	310705	1.590535481	TSS_1308_storz,310615,-_scrambled110-120	1	increased	-1	-1	NA	NA	NA
U00096.2	312589	312599	12.02562007	TSS_1323_storz_wanner_regulondb,312509,-_scrambled110-120	1	increased	-1	-1	NA	NA	NA
U00096.2	319322	319332	10.05404766	TSS_1348_regulondb,319417,+_scrambled25-35	1	increased	-1	-1	NA	NA	NA
U00096.2	320701	320721	3.282660158	TSS_1355_regulondb,320761,+_scrambled60-70_flipped,TSS_1355_regulondb,320761,+_scrambled70-80	2	increased	-1	-1	NA	NA	NA
U00096.2	324054	324074	2.615995086	TSS_1364_storz,324099,+_scrambled75-85,TSS_1364_storz,324099,+_scrambled85-95	2	increased	-1	-1	NA	NA	NA
U00096.2	324474	324484	14.96541896	TSS_1365_storz,324504,-_scrambled0-10	1	increased	-1	-1	NA	NA	NA
U00096.2	324511	324521	1.603216405	TSS_1366_storz,324551,+_scrambled80-90	1	increased	-1	-1	NA	NA	NA
U00096.2	324559	324569	5.389992248	TSS_1365_storz,324504,-_scrambled85-95	1	increased	-1	-1	NA	NA	NA
U00096.2	324599	324609	2.715744663	TSS_1365_storz,324504,-_scrambled125-135	1	increased	-1	-1	NA	NA	NA
U00096.2	343261	343271	6.48721055	TSS_1408_storz,343226,-_scrambled65-75	1	increased	-1	-1	NA	NA	NA
U00096.2	344475	344485	1.272656197	TSS_1415_regulondb,344560,+_scrambled35-45_flipped	1	increased	-1	-1	NA	NA	NA
